Question,Answer 1,Answer 2,Answer 3,Type
can i get email on it?,"we made the intentional decision to not include email on the dumbphone 2 to stay aligned with our values. we created a communication device with essentials that help guide you off your smartphone screen, while still being able to operate in the modern world. ",we encourage the dumbcurious to release supercomputer expectations. reset your nervous system with less notifications. ,want to chat alternative solutions? hit us up support@dumb.co,General
is the dumbphone 2 available internationally?,"currently, the dumbphone 2 is available in 49 U.S. states (minus alaska-- coming this summer) and puerto rico. ","if you want the dumbphone 2 in your country, please fill out this form: https://forms.fillout.com/t/tXdRkWzHsvus
",,General
can i use the Dumb Down app with my own smartphone + flip phone?,our custom dumbOS only exists on the dumb.co dumbphone 2; the Dumb Down app is not compatible with any other flip phone. it is only compatible with our phone lines.,,,General
how do i listen to music on it?,"the dumbphone 2 has bluetooth and a headphone jack. with the DUMB plan, you can stream Spotify, Apple Music, and podcasts. you'll just select this plan when activating your dumbphone.",,,General
,,,,
is the device end-to-end encrypted?,"yes, the connection is end-to-end encrypted. we don't log, store, or have access to message content at any point. the data stays on your personal devices. ",,,General
what are the phone hardware specs?,the dumbphone 2 is a modified and custom phone based on a TCL flip 2. ,"specs: 4G LTE, wi-fi, bluetooth, 2.8-inch internal display, 2 MP rear camera, 3.5mm jack, USB type-C, microSD support up to 128 GB.",,General
can i cancel anytime?,"in order to cancel, call our dumb line at 404-716-3605. you'll always get a human on the other end. please note our cancellation terms below.","phone plans: the phone plan is a 4-month minimum commitment. if cancelled before this time is up, billing will continue until the minimum is met. your service will continue until the end of the billing period. the phone number and smartphone syncing will be lost once cancelled.","dumbphone orders: as long as the physical phone has NOT shipped yet, you will receive a 100% refund on your cancelled order. once the phone has shipped, the phone itself will not be cancelled or refunded. after 4 months, the phone is yours to keep. if you prefer to return it, we will help arrange with our dumb360 program to help reduce e-waste. ",General
can i pause my service?,"at this time, we are unable to pause phone service. if you’d like to start back up again later, the phone line would have to be cancelled then restarted later on (the current phone number will be lost). ",,,General
replacements + refunds,"we make sure all of our dumbphone users are able to get up and running on the phone to get started on their dumb journey. should your phone or SIM arrive out of the box with any defects, notify us right away and we'll swap you out for a replacement! all other damage caused from consumer usage such as wear and tear, drops, water damage, etc. require a $65 replacement fee to cover the cost of the hardware. special circumstances may apply where we are able to accept a return for a full refund. in these cases, the device must return undamaged with all original parts, accessories, and packaging for the full refund. ","no partial refunds are issued for unused billing time. service continues through the paid period. 
",,General
how does setup work?,"1. set up your dumbphone at dumb.co/mobile and choose your plan.
2. turn on your dumbphone and wait a minute for it to register, and continue through setup steps!
3. if using the dumbphone as a companion device to your smartphone (via DUMB or DUMBER) plans, download the dumb down app on your smartphone and follow the prompts to link the two devices.",,,Tech Help
where is my SIM?,"your SIM (a physical tiny white card) is installed in the SIM tray inside the dumbphone. we pre-insert it for you so you don’t have to worry about opening up phone back. 

you’ll find that closed within the dumbphone is a large white card. the SIM # (IICD) is located on the back of this card. you’ll go to dumb.co/mobile to activate your new line by typing in this number. 

having trouble locating your SIM? email support@dumb.co.",,,Tech Help
how do i put my current phone number on the dumbphone?,"**transferring your phone number will cancel the service on your current phone.** after the transfer finishes, the number will only work on your dumbphone. 

**do not choose this option if you want to keep service on your smartphone.**","once you’ve decided you’d like your current phone number only active on your dumbphone, follow these steps below: 

1. go to dumb.co/mobile and choose your plan. 
2. when prompted for a phone number, choose **keep my phone number.**
3. contact your current phone carrier and request your **account #** and **porting credentials.**
4. provide your **account #** and **porting credentials** in your dumb.co/mobile portal. 
5. turn your dumbphone on and wait a minute for it to register the new number.",,Tech Help
"i transferred my current phone number to the dumbphone, but i am not receiving some texts","it can take anywhere from a few hours up to 48 hours for a transferred number to fully update; this occurs across all carrier networks. 

shortly after transferring a number to a new service, you may encounter an issue in which some calls correctly come into the new carrier while others still incorrectly come in to the old carrier. this issue most commonly indicates a partial port, specifically when the old carrier still has some work to do to complete the port. ","try out these steps below:

- check your portal dumb.co/mobile to see the status of your phone number porting. if it says porting complete and you still are not receiving calls and texts OR porting incomplete, reach out to your old carrier for a status update.

- power off your dumbphone, wait 10 seconds, then turn it back on. 

- if you transferred your number to the dumbphone from an iphone, make sure it is deregistered from imessage. use these instructions: https://selfsolve.apple.com/deregister-imessage/ ",,Tech Help
does my smartphone have to be on for syncing to work?,"here’s what works when your smartphone is on/off, and what doesn’t:","still works if phone is turned OFF:
-call forwarding
-imessage ","only works if phone is turned ON:
-text message forwarding (SMS on on iphone)
-google messages for android",Tech Help
how to turn on/off call forwarding,"1. on your smartphone, open the dumb down app.
2. to turn on call forwarding, make sure you’ve gone through setup and correctly entered your smartphone number, dumbphone number, and phone carrier for your smartphone. 
3. once you complete setup, each time you return to the dumb down app you will see at the top of the page forward phone calls. 
4. toggle “turn on” and “turn off”.",,,Tech Help
call forward isn’t working,"make sure your phone is set up for call forwarding:

1. on your smartphone, open the dumb down app. 
2. scroll down to configuration and go through setup again.
3. make sure you entered the correct information for: your smartphone number, dumbphone number, and wireless carrier for your smartphone. 
4. test that it works within the app. 
5. if call forwarding still is not working, restart your phone then toggle airplane mode on and off.","after you’ve taken all the steps above, if it still is not functioning properly, contact the carrier who you are trying to forward calls from, since it’s a network-dependent feature. 
",,Tech Help
iphone: smart txt isn’t syncing messages,"a quick reset usually fixes it.

1. open smart txt.
2. press the three dots in the top right.
3. go to settings.
4. scroll to the bottom and tap reset app.
5. log back in when it reopens. ",,,Tech Help
"iphone: not receiving android, sms, or “green” texts","if you're using an iphone to sync your dumbphone:

1. open settings → apps → messages.
2. tap text message forwarding.
3. make sure forwarding is turned on for your dumbphone.",you can also find these steps in the dumb down app on your smartphone.,,Tech Help
android: smart txt isn’t syncing messages,"make sure your dumbphone is set up to send and receive android messages.

1. on your dumbphone, open all apps → device setup.
2. continue until you see ""which texts r u syncing?""
3. choose android.
4. smart txt will open google messages and you will log into your account. ","if you have an android phone and you are running a different operating system (ie: using a “de-googled” phone), this will impact text sync ability. ",,Tech Help
whatsapp not logging in (qr code issues),"1. go to all apps → updates and install the latest update.
2. open whatsapp and return to the QR code.
3. make sure the qr code is fully loaded, then press the # key to enlarge it (this usually makes it scan more reliably).
4. scan the code on your smartphone. once it says “logging in”, press the back button on your dumbphone.",,,Tech Help
weak battery or phone randomly shutting off,"we are constantly improving the battery given all the features we’ve added to a dumbphone! try the steps below: 
1. go to all apps → updates and install the latest update.
2. restart the phone.
3. give 1-2 days to see if there is any improvement.
4. if you do not notice any improvement, contact us!","1. go to all apps → updates and install the latest update.
2. remove the back of the phone. 
3. give 1-2 days to see if there is any improvement.
4. if you do not notice any improvement, contact us!",,Tech Help
SIM doesn’t register on dumbphone,"1. on the registration error screen on the dumbphone, use the up button + OK button to select skip.
2. go to all apps → updates and install the latest update.
3. if you don’t see an update, turn airplane mode on, then off, and check again.
4. once updated, dial #686#. if the call connects, your dumbphone is successfully set up.

if the above does not work, contact us at support@dumb.co. ",,,Tech Help
contacts didn’t sync,"this usually means your smartphone needs to be linked again.

1. in the dumbdown app, go to settings → enter smartphone → enter dumbphone → unlink smartphone.
2. on your dumbphone, go to all apps → device setup.
3. when asked ""r u linking smartphone?"", choose yes.
4. select link your smartphone (or unpair first if it’s still connected).
5. link your smartphone again and let your contacts sync.",,,Tech Help
spam calls,"unfortunately, every carrier gets some spam. here are some things you can do to help:

-add your number to the national do not call registry.
-block any spam numbers that call or text you.
-forward spam texts to 7726 (spam) to report them. this helps carriers identify and block future spam.",,,Tech Help
can i use the dumb down app on an ipad?,"contact sync and type sync will work with an ipad. 

call forwarding will not work since it occurs at the cellular network level; this must be done on a smartphone. ",,,Tech Help
missing group mms in dumb txt app,"1. open up the dumb txt app.
2. go to options --> settings --> group messaging. 
3. make sure group messaging is turned on.",,,Tech Help
Does the dumbphone work outside the US? ,we expect to launch internationally in 2027,,,
